"ENTITY_CD","ENTITY_NAME","YEAR","PK12 Enrollment","SWD Enrollment","Special Education Expenditures","Special Education Expenditures/Pupil","Total Expenditures","General Education Expenditures","General Education Expenditures/Pupil"
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","2020-21",1179,128,3109654,24294.171875,21970454,18860800,15997.2858354538
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","2021-22",1204,129,2898848,22471.6899224806,26627876,23729028,19708.4950166113
"011003060000","VOORHEESVILLE CSD","2022-23",1232,138,2658951,19267.7608695652,25234477,22575526,18324.2905844156
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","2023-24",1223,136,3639314,26759.6617647059,28526641,24887327,20349.4088307441
"011003060000","VOORHEESVILLE CSD","2024-25",1215,139,4079877.07,29351.6335971223,29952968.71,25873091.64,21294.7256296296
"011200010000","WATERVLIET CITY SCHOOL DISTRICT","2018-19",1342,174,275386,1582.67816091954,17267531,16992145,12661.8070044709
"011200010000","WATERVLIET CITY SCHOOL DISTRICT","2019-20",1296,193,5035641,26091.4041450777,17771901,12736260,9827.36111111111
"011200010000","WATERVLIET CITY SCHOOL DISTRICT","2020-21",1334,207,5392474,26050.5990338164,17800466,12407992,9301.34332833583
"011200010000","WATERVLIET CITY SCHOOL DISTRICT","2021-22",1303,221,6000856,27153.1945701357,20289505,14288649,10965.9623944743
"011200010000","WATERVLIET CITY SD","2022-23",1344,213,6023653,28280.0610328639,22541067,16517414,12289.7425595238
"011200010000","WATERVLIET CITY SCHOOL DISTRICT","2023-24",1477,248,5548316,22372.2419354839,36025758,30477442,20634.6932972241
"011200010000","WATERVLIET CITY SD","2024-25",1447,238,6134712,25776.1008403361,36072305,29937593,20689.4215618521
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","2018-19",622,86,1579090,18361.511627907,11450273.88,9871183.88,15870.0705466238
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","2019-20",619,76,1095353,14412.5394736842,11427456,10332103,16691.6042003231
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","2020-21",575,69,1090204,15800.0579710145,11180248,10090044,17547.9026086957
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","2021-22",576,77,768332,9978.33766233766,11694286,10925954,18968.6701388889
"020101040000","ALFRED-ALMOND CSD","2022-23",551,85,838440.74,9864.00870588235,13255508.1,12417067.36,22535.5124500907
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","2023-24",510,80,2018626.14,25232.82675,14291229.78,12272603.64,24063.9287058824
"020101040000","ALFRED-ALMOND CSD","2024-25",489,70,2151704.87,30738.641,15340992.96,13189288.09,26971.9592842536
"020601040000","ANDOVER CENTRAL SCHOOL DISTRICT","2018-19",302,55,577460,10499.2727272727,7580320,7002860,23188.2781456954
"020601040000","ANDOVER CENTRAL SCHOOL DISTRICT","2019-20",294,47,862110,18342.7659574468,7137611,6275501,21345.2414965986
"020601040000","ANDOVER CENTRAL SCHOOL DISTRICT","2020-21",258,44,1453222,33027.7727272727,7119291,5666069,21961.507751938
"020601040000","ANDOVER CENTRAL SCHOOL DISTRICT","2021-22",268,45,875133,19447.4,7769252,6894119,25724.3246268657
"020601040000","ANDOVER CSD","2022-23",249,39,661392,16958.7692307692,8815409,8154017,32747.0562248996
"020601040000","ANDOVER CENTRAL SCHOOL DISTRICT","2023-24",255,41,1509142,36808.3414634146,9168531,7659389,30036.8196078431
"020601040000","ANDOVER CSD","2024-25",240,39,1518471,38935.1538461538,9267195,7748724,32286.35
"020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","2018-19",506,78,1345156,17245.5897435897,12690344,11345188,22421.3201581028
"020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","2019-20",536,96,1587247.64,16533.8295833333,12862393.07,11275145.43,21035.7190858209
"020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","2020-21",525,85,1608497,18923.4941176471,13115818,11507321,21918.7066666667
"020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","2021-22",528,87,2035783,23399.8045977011,14588630,12552847,23774.3314393939
"020702040000","GENESEE VALLEY CSD","2022-23",547,93,2021100,21732.2580645161,15475445,13454345,24596.6087751371
"020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","2023-24",544,114,2267426.67,19889.7076315789,16958033.37,14690606.7,27004.7917279412
"020702040000","GENESEE VALLEY CSD","2024-25",591,140,2939162.89,20994.0206428571,17424802.5,14485639.61,24510.3885109983
"020801040000","BELFAST CENTRAL SCHOOL DISTRICT","2018-19",336,62,1062427,17135.9193548387,7846173,6783746,20189.7202380952
"020801040000","BELFAST CENTRAL SCHOOL DISTRICT","2019-20",343,68,1378752,20275.7647058824,7804459,6425707,18733.8396501458
"020801040000","BELFAST CENTRAL SCHOOL DISTRICT","2020-21",338,60,1237225,20620.4166666667,7591003,6353778,18798.1597633136
"020801040000","BELFAST CENTRAL SCHOOL DISTRICT","2021-22",332,60,1074656,17910.9333333333,8607973,7533317,22690.7138554217
"020801040000","BELFAST CSD","2022-23",320,62,798093.34,12872.4732258065,9272706.96,8474613.62,26483.1675625
"020801040000","BELFAST CENTRAL SCHOOL DISTRICT","2023-24",315,78,574781.31,7368.99115384615,11237799.77,10663018.46,33850.8522539683
"020801040000","BELFAST CSD","2024-25",316,73,0,0,11293964.01,11293964.01,35740.3924367089
"021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT","2018-19",238,31,926592,29890.064516129,5410396,4483804,18839.512605042
"021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT","2019-20",215,32,379818.66,11869.333125,5202319.02,4822500.36,22430.2342325581
"021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT","2020-21",197,20,894601.41,44730.0705,5475055.25,4580453.84,23251.0347208122
"021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT","2021-22",208,29,293334,10114.9655172414,5674699,5381365,25871.9471153846
