"ENTITY_CD","ENTITY_NAME","YEAR","PK12_Enrollment","SWD_Enrollment","Special_Education_Expenditures","Special_Education_Expenditures_PerSWD","Total_Expenditures","General_Education_Expenditures","General_Education_Expenditures_PerPupil","Special_Education_Expenditures_PerPupil"
"020702040000","GENESEE VALLEY CSD",2022,528,87,2035783,23399.8045977011,14588630,12552847,23774.3314393939,3855.64962121212
"020702040000","GENESEE VALLEY CSD",2023,547,93,2021100,21732.2580645161,15475445,13454345,24596.6087751371,3694.88117001828
"020702040000","GENESEE VALLEY CSD",2024,544,114,2267426.67,19889.7076315789,16958033.37,14690606.7,27004.7917279412,4168.06373161765
"020702040000","GENESEE VALLEY CSD",2025,591,140,2939162.89,20994.0206428571,17424802.5,14485639.61,24510.3885109983,4973.20285956007
"020801040000","BELFAST CSD",2019,336,62,1062427,17135.9193548387,7846173,6783746,20189.7202380952,3161.98511904762
"020801040000","BELFAST CSD",2020,343,68,1378752,20275.7647058824,7804459,6425707,18733.8396501458,4019.68513119534
"020801040000","BELFAST CSD",2021,338,60,1237225,20620.4166666667,7591003,6353778,18798.1597633136,3660.42899408284
"020801040000","BELFAST CSD",2022,332,60,1074656,17910.9333333333,8607973,7533317,22690.7138554217,3236.9156626506
"020801040000","BELFAST CSD",2023,320,62,798093.34,12872.4732258065,9272706.96,8474613.62,26483.1675625,2494.0416875
"020801040000","BELFAST CSD",2024,315,78,574781.31,7368.99115384615,11237799.77,10663018.46,33850.8522539683,1824.70257142857
"020801040000","BELFAST CSD",2025,316,73,0,0,11293964.01,11293964.01,35740.3924367089,0
"021102040000","CANASERAGA CSD",2019,238,31,926592,29890.064516129,5410396,4483804,18839.512605042,3893.24369747899
"021102040000","CANASERAGA CSD",2020,215,32,379818.66,11869.333125,5202319.02,4822500.36,22430.2342325581,1766.59841860465
"021102040000","CANASERAGA CSD",2021,197,20,894601.41,44730.0705,5475055.25,4580453.84,23251.0347208122,4541.12390862944
"021102040000","CANASERAGA CSD",2022,208,29,293334,10114.9655172414,5674699,5381365,25871.9471153846,1410.25961538462
"021102040000","CANASERAGA CSD",2023,200,30,572269.72,19075.6573333333,6241437.18,5669167.46,28345.8373,2861.3486
"021102040000","CANASERAGA CSD",2024,210,38,536214.45,14110.9065789474,7299274.57,6763060.12,32205.0481904762,2553.40214285714
"021102040000","CANASERAGA CSD",2025,203,46,421827.1,9170.15434782609,7288168,6866340.9,33824.339408867,2077.96600985222
"021601040000","FRIENDSHIP CSD",2019,314,58,3604482,62146.2413793103,2615142,-989340,-3150.76433121019,11479.2420382166
"021601040000","FRIENDSHIP CSD",2020,319,63,3675488,58341.0793650794,9298994,5623506,17628.5454545455,11521.9059561129
"021601040000","FRIENDSHIP CSD",2021,282,42,3859489,91892.5952380952,9308263,5448774,19321.8936170213,13686.1312056738
"021601040000","FRIENDSHIP CSD",2022,276,36,4476323,124342.305555556,10952140,6475817,23463.1050724638,16218.5615942029
"021601040000","FRIENDSHIP CSD",2023,275,45,1747023,38822.7333333333,7402953,5655930,20567.0181818182,6352.81090909091
"021601040000","FRIENDSHIP CSD",2024,265,52,1819822,34996.5769230769,10877746,9057924,34180.8452830189,6867.25283018868
"021601040000","FRIENDSHIP CSD",2025,259,50,2213458,44269.16,8795722,6582264,25414.1467181467,8546.16988416988
"022001040000","FILLMORE CSD",2019,682,79,2119257.03,26826.0383544304,11334864.02,9215606.99,13512.6202199413,3107.415
"022001040000","FILLMORE CSD",2020,703,103,2229378.27,21644.449223301,11430214.07,9200835.8,13087.959886202,3171.23509246088
"022001040000","FILLMORE CSD",2021,652,90,2127574.95,23639.7216666667,11543981.91,9416406.96,14442.3419631902,3263.15176380368
"022001040000","FILLMORE CSD",2022,658,85,2304731,27114.4823529412,12222267,9917536,15072.2431610942,3502.63069908815
"022001040000","FILLMORE CSD",2023,650,89,2259706.29,25389.9583146067,13175204.07,10915497.78,16793.0735076923,3476.47121538462
"022001040000","FILLMORE CSD",2024,607,106,2003105.46,18897.2213207547,16276055.87,14272950.41,23513.9215980231,3300.00899505766
"022001040000","FILLMORE CSD",2025,597,107,2283726.51,21343.238411215,16756235.13,14472508.62,24242.0579899497,3825.33753768844
"022101040000","WHITESVILLE CSD",2019,196,20,444508.17,22225.4085,4806931.23,4362423.06,22257.2605102041,2267.89882653061
"022101040000","WHITESVILLE CSD",2020,187,24,323326.81,13471.9504166667,4812519.1,4489192.29,24006.3758823529,1729.02037433155
"022101040000","WHITESVILLE CSD",2021,167,20,431315,21565.75,4217134,3785819,22669.5748502994,2582.7245508982
"022101040000","WHITESVILLE CSD",2022,160,16,366834,22927.125,5076971,4710137,29438.35625,2292.7125
"022101040000","WHITESVILLE CSD",2023,145,12,111343,9278.58333333333,5422687,5311344,36629.9586206897,767.88275862069
"022101040000","WHITESVILLE CSD",2024,129,19,411480,21656.8421052632,5272229,4860749,37680.2248062015,3189.76744186047
"022101040000","WHITESVILLE CSD",2025,112,15,626290.74,41752.716,5196444.81,4570154.07,40804.9470535714,5591.88160714286
"022302040000","CUBA-RUSHFORD CSD",2019,817,149,2363775.93,15864.2679865772,17113371.4,14749595.47,18053.3604283966,2893.23859241126
"022302040000","CUBA-RUSHFORD CSD",2020,819,164,2358738.61,14382.5525,16294033.37,13935294.76,17015.0119169719,2880.02272283272
"022302040000","CUBA-RUSHFORD CSD",2021,775,153,2342053.23,15307.5374509804,16405486.19,14063432.96,18146.3651096774,3022.00416774194
"022302040000","CUBA-RUSHFORD CSD",2022,781,143,1482751,10368.8881118881,18880085,17397334,22275.7157490397,1898.52880921895
"022302040000","CUBA-RUSHFORD CSD",2023,739,143,1581041.97,11056.2375524476,19532255.13,17951213.16,24291.2221380244,2139.43433017591
"022302040000","CUBA-RUSHFORD CSD",2024,720,151,1862517.13,12334.5505298013,23456365.49,21593848.36,29991.4560555556,2586.82934722222
"022302040000","CUBA-RUSHFORD CSD",2025,719,151,2223735.33,14726.7240397351,24814587.58,22590852.25,31419.8223226704,3092.81687065369
"022401040000","SCIO CSD",2019,334,44,1146851,26064.7954545455,8280781,7133930,21359.0718562874,3433.68562874251
"022401040000","SCIO CSD",2020,321,55,297824,5414.98181818182,8215877,7918053,24666.8317757009,927.80062305296
"022401040000","SCIO CSD",2021,300,64,346100,5407.8125,8228724,7882624,26275.4133333333,1153.66666666667
"022401040000","SCIO CSD",2022,259,49,226992,4632.48979591837,8945447,8718455,33661.9884169884,876.416988416988
"022401040000","SCIO CSD",2023,265,48,388039,8084.14583333333,9628271,9240232,34868.8,1464.29811320755
"022401040000","SCIO CSD",2024,281,41,471097.66,11490.1868292683,10396110.11,9925012.45,35320.3290035587,1676.50412811388
"022401040000","SCIO CSD",2025,268,42,1936326.57,46103.0135714286,11169899.12,9233572.55,34453.6289179104,7225.09914179105
"022601060000","WELLSVILLE CSD",2019,1183,157,7636684.84,48641.3047133758,22235046.51,14598361.67,12340.1197548605,6455.35489433643
"022601060000","WELLSVILLE CSD",2020,1125,181,2193950.96,12121.2760220994,21744044.2,19550093.24,17377.8606577778,1950.17863111111
