ENTITY_CD	ENTITY_NAME	YEAR	PK12_Enrollment	SWD_Enrollment	Special_Education_Expenditures	Special_Education_Expenditures_PerSWD	Total_Expenditures	General_Education_Expenditures	General_Education_Expenditures_PerPupil	Special_Education_Expenditures_PerPupil
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2019	1348	184	1407519.12	7649.560435	22538816.99	21131297.87	15676.037	1044.15365
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2020	1333	190	2053700.95	10808.95237	21687294.18	19633593.23	14728.87714	1540.660878
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2021	1316	181	2119450.63	11709.67199	21644972.2	19525521.57	14837.02247	1610.524795
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2022	1334	191	1339855	7014.947644	23326794	21986939	16481.96327	1004.389055
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2023	1319	180	1486883.6	8260.464444	23682606.79	22195723.19	16827.69006	1127.28097
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2024	1293	188	0	0	29226756.03	29226756.03	22603.83297	0
60201060000	SOUTHWESTERN CSD AT JAMESTOWN	2025	1231	201	2022580.79	10062.591	29787973.03	27765392.24	22555.1521	1643.038822
60301040000	FREWSBURG CSD	2019	804	119	1815904	15259.69748	13471859	11655955	14497.45647	2258.587065
60301040000	FREWSBURG CSD	2020	808	126	1277501.58	10138.90143	14109515.06	12832013.48	15881.2048	1581.066312
60301040000	FREWSBURG CSD	2021	761	123	1029706.33	8371.596179	13422033.93	12392327.6	16284.26754	1353.09636
60301040000	FREWSBURG CSD	2022	772	123	1259402	10239.04065	15256226	13996824	18130.60104	1631.349741
60301040000	FREWSBURG CSD	2023	750	124	1395891.28	11257.18774	16131725.45	14735834.17	19647.77889	1861.188373
60301040000	FREWSBURG CSD	2024	715	112	1627792.86	14533.86482	18388687.79	16760894.93	23441.81109	2276.633371
60301040000	FREWSBURG CSD	2025	729	109	1800163.68	16515.26312	19053193.06	17253029.38	23666.70697	2469.360329
60401040000	CASSADAGA VALLEY CSD	2019	859	126	3180619.26	25243.01	17929702.85	14749083.59	17170.06239	3702.699953
60401040000	CASSADAGA VALLEY CSD	2020	852	131	1528337.99	11666.70221	17774880.61	16246542.62	19068.712	1793.823932
60401040000	CASSADAGA VALLEY CSD	2021	808	119	1380215.29	11598.44782	16361506.96	14981291.67	18541.20256	1708.18724
60401040000	CASSADAGA VALLEY CSD	2022	820	122	1629730	13358.44262	17723769	16094039	19626.87683	1987.47561
60401040000	CASSADAGA VALLEY CSD	2023	803	126	1748215	13874.72222	19430965.86	17682750.86	22020.86035	2177.104608
60401040000	CASSADAGA VALLEY CSD	2024	804	142	3182627.17	22412.86739	22349554.33	19166927.16	23839.46164	3958.491505
60401040000	CASSADAGA VALLEY CSD	2025	795	141	1673286.87	11867.28277	23323205.23	21649918.36	27232.60171	2104.763358
60503040000	CHAUTAUQUA LAKE CSD	2019	743	86	1878544	21843.53488	17693471	15814927	21285.23149	2528.323015
60503040000	CHAUTAUQUA LAKE CSD	2020	737	93	1725664	18555.52688	17258288	15532624	21075.47354	2341.470828
60503040000	CHAUTAUQUA LAKE CSD	2021	716	104	1789051	17202.41346	17136542	15347491	21435.0433	2498.674581
60503040000	CHAUTAUQUA LAKE CSD	2022	699	114	2006513	17600.99123	17848562	15842049	22663.87554	2870.547926
60503040000	CHAUTAUQUA LAKE CSD	2023	717	127	1896722	14934.8189	19086913	17190191	23975.16179	2645.358438
60503040000	CHAUTAUQUA LAKE CSD	2024	697	105	3717366	35403.48571	21262506	17545140	25172.36729	5333.380201
60503040000	CHAUTAUQUA LAKE CSD	2025	673	107	3767612	35211.3271	22191041	18423429	27375.08024	5598.23477
