"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"70",2023,"000003000000","ALL Broome Districts","ELA7","Economically Disadvantaged",1054,194,18,860,"28","Spring","BROOME","COUNTY",239,621,22.6755218216319,58.9184060721063,18.4060721062619
"71",2023,"000003000000","ALL Broome Districts","ELA8","Economically Disadvantaged",1040,210,20,830,"31","Spring","BROOME","COUNTY",260,570,25,54.8076923076923,20.1923076923077
"72",2023,"000003000000","ALL Broome Districts","ELA4","Economically Disadvantaged",1056,79,7,977,"29","Spring","BROOME","COUNTY",279,698,26.4204545454545,66.0984848484848,7.48106060606061
"73",2023,"000003000000","ALL Broome Districts","ELA6","Economically Disadvantaged",1126,120,11,1006,"30","Spring","BROOME","COUNTY",298,708,26.4653641207815,62.8774422735346,10.6571936056838
"74",2023,"000003000000","ALL Broome Districts","ELA3","Economically Disadvantaged",1085,82,8,1003,"26","Spring","BROOME","COUNTY",260,743,23.963133640553,68.4792626728111,7.55760368663594
"75",2023,"000003000000","ALL Broome Districts","ELA5","Economically Disadvantaged",1032,95,9,937,"23","Spring","BROOME","COUNTY",213,724,20.6395348837209,70.1550387596899,9.20542635658915
"76",2023,"000003000000","ALL Broome Districts","ELA7","General Education Students",1502,194,13,1308,"47","Spring","BROOME","COUNTY",621,687,41.3448735019973,45.7390146471371,12.9161118508655
"77",2023,"000003000000","ALL Broome Districts","ELA8","General Education Students",1576,209,13,1367,"52","Spring","BROOME","COUNTY",711,656,45.1142131979695,41.6243654822335,13.261421319797
"78",2023,"000003000000","ALL Broome Districts","ELA4","General Education Students",1526,58,4,1468,"47","Spring","BROOME","COUNTY",689,779,45.1507208387942,51.0484927916121,3.80078636959371
"79",2023,"000003000000","ALL Broome Districts","ELA6","General Education Students",1489,80,5,1409,"47","Spring","BROOME","COUNTY",668,741,44.862323707186,49.7649429147079,5.37273337810611
"80",2023,"000003000000","ALL Broome Districts","ELA3","General Education Students",1613,57,4,1556,"42","Spring","BROOME","COUNTY",648,908,40.1735895846249,56.2926224426534,3.53378797272164
"81",2023,"000003000000","ALL Broome Districts","ELA5","General Education Students",1528,71,5,1457,"42","Spring","BROOME","COUNTY",609,848,39.8560209424084,55.4973821989529,4.64659685863874
"82",2023,"000003000000","ALL Broome Districts","ELA7","Not Economically Disadvantaged",833,99,12,734,"55","Spring","BROOME","COUNTY",405,329,48.6194477791116,39.4957983193277,11.8847539015606
"83",2023,"000003000000","ALL Broome Districts","ELA8","Not Economically Disadvantaged",920,127,14,793,"60","Spring","BROOME","COUNTY",476,317,51.7391304347826,34.4565217391304,13.804347826087
"84",2023,"000003000000","ALL Broome Districts","ELA4","Not Economically Disadvantaged",807,44,5,763,"57","Spring","BROOME","COUNTY",438,325,54.275092936803,40.272614622057,5.45229244114002
