"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","LEVEL3_COUNT","LEVEL4_COUNT","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"209",2024,"000005000000","Cayuga County","ELA3","Students with Disabilities",122,23,19,99,6,1,"7","Spring",NA,"COUNTY",7,92,5.73770491803279,75.4098360655738,18.8524590163934
"210",2024,"000005000000","Cayuga County","ELA5","Students with Disabilities",128,11,9,117,4,2,"5","Spring",NA,"COUNTY",6,111,4.6875,86.71875,8.59375
"211",2024,"000006000000","Chautauqua County","ELA3_8","All Students",7805,659,8,7146,1915,677,"36","Spring",NA,"COUNTY",2592,4554,33.2094811018578,58.3472133247918,8.44330557335042
"212",2024,"000006000000","Chautauqua County","ELA8","All Students",1306,192,15,1114,315,195,"46","Spring",NA,"COUNTY",510,604,39.0505359877489,46.2480857580398,14.7013782542113
"213",2024,"000006000000","Chautauqua County","ELA7","All Students",1334,139,10,1195,365,116,"40","Spring",NA,"COUNTY",481,714,36.0569715142429,53.5232383808096,10.4197901049475
"214",2024,"000006000000","Chautauqua County","ELA4","All Students",1339,80,6,1259,292,111,"32","Spring",NA,"COUNTY",403,856,30.0970873786408,63.9283047050037,5.97460791635549
"215",2024,"000006000000","Chautauqua County","ELA6","All Students",1290,101,8,1189,283,91,"31","Spring",NA,"COUNTY",374,815,28.9922480620155,63.1782945736434,7.82945736434109
"216",2024,"000006000000","Chautauqua County","ELA3","All Students",1293,69,5,1224,320,76,"32","Spring",NA,"COUNTY",396,828,30.6264501160093,64.0371229698376,5.33642691415313
"217",2024,"000006000000","Chautauqua County","ELA5","All Students",1243,78,6,1165,340,88,"37","Spring",NA,"COUNTY",428,737,34.4328238133548,59.2920353982301,6.27514078841512
"218",2024,"000006000000","Chautauqua County","ELA8","Economically Disadvantaged",781,122,16,659,160,66,"34","Spring",NA,"COUNTY",226,433,28.9372599231754,55.4417413572343,15.6209987195903
"219",2024,"000006000000","Chautauqua County","ELA7","Economically Disadvantaged",800,89,11,711,166,37,"29","Spring",NA,"COUNTY",203,508,25.375,63.5,11.125
"220",2024,"000006000000","Chautauqua County","ELA4","Economically Disadvantaged",855,48,6,807,138,44,"23","Spring",NA,"COUNTY",182,625,21.2865497076023,73.0994152046784,5.6140350877193
"221",2024,"000006000000","Chautauqua County","ELA6","Economically Disadvantaged",807,62,8,745,134,16,"20","Spring",NA,"COUNTY",150,595,18.5873605947955,73.729863692689,7.68277571251549
"222",2024,"000006000000","Chautauqua County","ELA3","Economically Disadvantaged",856,48,6,808,178,29,"26","Spring",NA,"COUNTY",207,601,24.1822429906542,70.2102803738318,5.60747663551402
"223",2024,"000006000000","Chautauqua County","ELA5","Economically Disadvantaged",775,40,5,735,160,33,"26","Spring",NA,"COUNTY",193,542,24.9032258064516,69.9354838709677,5.16129032258065
"224",2024,"000006000000","Chautauqua County","ELA8","English Language Learner",53,16,30,37,2,0,"5","Spring",NA,"COUNTY",2,35,3.77358490566038,66.0377358490566,30.188679245283
"225",2024,"000006000000","Chautauqua County","ELA7","English Language Learner",46,9,20,37,3,0,NA,"Spring",NA,"COUNTY",3,34,6.52173913043478,73.9130434782609,19.5652173913043
"226",2024,"000006000000","Chautauqua County","ELA4","English Language Learner",63,9,14,54,4,0,"7","Spring",NA,"COUNTY",4,50,6.34920634920635,79.3650793650794,14.2857142857143
"227",2024,"000006000000","Chautauqua County","ELA6","English Language Learner",48,12,25,36,1,0,"3","Spring",NA,"COUNTY",1,35,2.08333333333333,72.9166666666667,25
"228",2024,"000006000000","Chautauqua County","ELA3","English Language Learner",73,9,12,64,4,0,"6","Spring",NA,"COUNTY",4,60,5.47945205479452,82.1917808219178,12.3287671232877
"229",2024,"000006000000","Chautauqua County","ELA5","English Language Learner",57,9,16,48,0,0,"0","Spring",NA,"COUNTY",0,48,0,84.2105263157895,15.7894736842105
"230",2024,"000006000000","Chautauqua County","ELA8","General Education Students",1048,126,12,922,302,195,"54","Spring",NA,"COUNTY",497,425,47.4236641221374,40.5534351145038,12.0229007633588
"231",2024,"000006000000","Chautauqua County","ELA7","General Education Students",1083,95,9,988,354,114,"47","Spring",NA,"COUNTY",468,520,43.213296398892,48.0147737765466,8.7719298245614
"232",2024,"000006000000","Chautauqua County","ELA4","General Education Students",1080,39,4,1041,275,108,"37","Spring",NA,"COUNTY",383,658,35.462962962963,60.9259259259259,3.61111111111111
"233",2024,"000006000000","Chautauqua County","ELA6","General Education Students",1039,64,6,975,273,87,"37","Spring",NA,"COUNTY",360,615,34.6487006737247,59.1915303176131,6.15976900866218
"234",2024,"000006000000","Chautauqua County","ELA3","General Education Students",1026,23,2,1003,306,76,"38","Spring",NA,"COUNTY",382,621,37.2319688109162,60.5263157894737,2.24171539961014
"235",2024,"000006000000","Chautauqua County","ELA5","General Education Students",1000,39,4,961,330,88,"43","Spring",NA,"COUNTY",418,543,41.8,54.3,3.9
"236",2024,"000006000000","Chautauqua County","ELA8","Non-English Language Learner",1253,176,14,1077,313,195,"47","Spring",NA,"COUNTY",508,569,40.5426975259377,45.4110135674381,14.0462889066241
"237",2024,"000006000000","Chautauqua County","ELA7","Non-English Language Learner",1288,130,10,1158,362,116,"41","Spring",NA,"COUNTY",478,680,37.111801242236,52.7950310559006,10.0931677018634
"238",2024,"000006000000","Chautauqua County","ELA4","Non-English Language Learner",1276,71,6,1205,288,111,"33","Spring",NA,"COUNTY",399,806,31.269592476489,63.166144200627,5.56426332288401
"239",2024,"000006000000","Chautauqua County","ELA6","Non-English Language Learner",1242,89,7,1153,282,91,"32","Spring",NA,"COUNTY",373,780,30.0322061191626,62.8019323671498,7.1658615136876
"240",2024,"000006000000","Chautauqua County","ELA3","Non-English Language Learner",1220,60,5,1160,316,76,"34","Spring",NA,"COUNTY",392,768,32.1311475409836,62.9508196721312,4.91803278688525
"241",2024,"000006000000","Chautauqua County","ELA5","Non-English Language Learner",1186,69,6,1117,340,88,"38","Spring",NA,"COUNTY",428,689,36.0876897133221,58.0944350758853,5.81787521079258
"242",2024,"000006000000","Chautauqua County","ELA8","Not Economically Disadvantaged",525,70,13,455,155,129,"62","Spring",NA,"COUNTY",284,171,54.0952380952381,32.5714285714286,13.3333333333333
"243",2024,"000006000000","Chautauqua County","ELA7","Not Economically Disadvantaged",534,50,9,484,199,79,"57","Spring",NA,"COUNTY",278,206,52.059925093633,38.5767790262172,9.36329588014981
"244",2024,"000006000000","Chautauqua County","ELA4","Not Economically Disadvantaged",484,32,7,452,154,67,"49","Spring",NA,"COUNTY",221,231,45.6611570247934,47.7272727272727,6.61157024793388
"245",2024,"000006000000","Chautauqua County","ELA6","Not Economically Disadvantaged",483,39,8,444,149,75,"50","Spring",NA,"COUNTY",224,220,46.3768115942029,45.5486542443064,8.07453416149068
"246",2024,"000006000000","Chautauqua County","ELA3","Not Economically Disadvantaged",437,21,5,416,142,47,"45","Spring",NA,"COUNTY",189,227,43.2494279176201,51.9450800915332,4.80549199084668
"247",2024,"000006000000","Chautauqua County","ELA5","Not Economically Disadvantaged",468,38,8,430,180,55,"55","Spring",NA,"COUNTY",235,195,50.2136752136752,41.6666666666667,8.11965811965812
"248",2024,"000006000000","Chautauqua County","ELA8","Students with Disabilities",258,66,26,192,13,0,"7","Spring",NA,"COUNTY",13,179,5.03875968992248,69.3798449612403,25.5813953488372
"249",2024,"000006000000","Chautauqua County","ELA7","Students with Disabilities",251,44,18,207,11,2,"6","Spring",NA,"COUNTY",13,194,5.1792828685259,77.2908366533864,17.5298804780877
"250",2024,"000006000000","Chautauqua County","ELA4","Students with Disabilities",259,41,16,218,17,3,NA,"Spring",NA,"COUNTY",20,198,7.72200772200772,76.4478764478765,15.8301158301158
"251",2024,"000006000000","Chautauqua County","ELA6","Students with Disabilities",251,37,15,214,10,4,"7","Spring",NA,"COUNTY",14,200,5.57768924302789,79.6812749003984,14.7410358565737
"252",2024,"000006000000","Chautauqua County","ELA3","Students with Disabilities",267,46,17,221,14,0,"6","Spring",NA,"COUNTY",14,207,5.2434456928839,77.5280898876404,17.2284644194757
